Parent	Daughters
amuz1253	sila1250
amuz1253	sind1277
amuz1253	sini1243
amuz1253	sout3000
amuz1253	sout3001
amuz1253	sout3002
amuz1253	soya1236
amuz1253	taca1257
amuz1253	tama1339
amuz1253	tepe1280
amuz1253	teut1235
amuz1253	tezo1238
amuz1253	tida1235
amuz1253	tija1235
amuz1253	tlaz1235
amuz1253	tutu1243
amuz1253	west2643
amuz1253	yolo1241
amuz1253	yoso1239
amuz1253	yucu1250
amuz1253	yuta1240
amuz1254	guer1243
amuz1254	ipal1235
amuz1254	sanp1260
anaa1239	gana1274
anaa1239	gwii1239
anat1257	cari1274
anat1257	cune1239
anat1257	hier1240
anat1257	hitt1242
anat1257	lyci1241
anat1257	lydi1241
anat1257	mily1238
anat1257	pala1331
anat1257	pisi1234
anat1257	side1240
anch1239	kani1282
anch1239	kani1283
andi1254	akhv1239
andi1254	andi1255
andi1254	bagv1239
andi1254	botl1242
andi1254	cham1309
andi1254	ghod1238
andi1254	kara1474
andi1254	tind1238
andr1245	andr1246
andr1245	seng1275
anga1244	anga1288
anga1244	chok1243
anga1244	khez1235
anga1244	maon1238
anga1244	poum1235
anga1286	anga1288
anga1286	chok1243
anga1286	khez1235
anga1286	maon1238
anga1286	nort2725
anga1286	poch1243
anga1286	poum1235
anga1286	sout2732
anga1286	sumi1235
anga1287	anga1288
anga1287	chok1243
anga1289	akoy1238
anga1289	anga1290
anga1289	anka1246
anga1289	baru1267
anga1289	hamt1247
anga1289	kama1360
anga1289	kawa1276
anga1289	meny1245
anga1289	safe1240
anga1289	simb1255
anga1289	susu1251
anga1289	tain1253
anga1289	yagw1240
anga1291	anga1292
anga1291	anga1293
anga1291	anga1294
anga1291	east2516
anga1291	erav1244
anga1291	samb1321
anga1291	west2599
anga1311	chak1275
anga1311	goem1240
anga1311	koen1239
anga1311	mont1280
anga1311	pyap1239
anga1311	tall1250
anga1312	anga1288
anga1312	aona1235
anga1312	chok1243
anga1312	khez1235
anga1312	long1375
anga1312	loth1237
anga1312	maku1273
anga1312	maon1238
anga1312	nort2725
anga1312	para1302
anga1312	poch1243
anga1312	poum1235
anga1312	sang1321
anga1312	sout2732
anga1312	sumi1235
anga1312	yimc1240
anga1313	anga1292
anga1313	anga1293
anga1313	anga1294
anga1313	east2516
anga1313	erav1244
anga1313	west2599
anga1314	anga1292
anga1314	anga1293
anga1314	anga1294
angk1246	east2776
angk1246	huuu1240
angk1246	manm1238
angk1246	mokk1243
angk1246	tail1246
angk1246	uuuu1243
angk1248	bata1290
angk1248	bata1291
angl1264	afro1254
angl1264	anti1245
angl1264	baha1260
angl1264	baja1265
angl1264	beli1260
angl1264	bisl1239
angl1264	came1254
angl1264	creo1235
angl1264	fern1234
angl1264	ghan1244
angl1264	gren1247
angl1264	gull1241
angl1264	hawa1247
angl1264	jama1262
angl1264	krio1252
angl1264	krio1253
angl1264	kwin1243
angl1264	limo1249
angl1264	midd1317
angl1264	ndyu1242
angl1264	nica1252
angl1264	nige1257
angl1264	nort2626
angl1264	olde1238
angl1264	oldf1241
angl1264	piji1239
angl1264	pitc1234
angl1264	sana1297
angl1264	sara1340
angl1264	sate1242
angl1264	scot1243
angl1264	sran1240
angl1264	stan1293
angl1264	toba1282
angl1264	tokp1240
angl1264	torr1261
angl1264	trin1276
angl1264	turk1310
angl1264	vinc1243
angl1264	virg1240
angl1264	west2354
angl1265	afro1254
angl1265	anti1245
angl1265	baha1260
angl1265	baja1265
angl1265	beli1260
angl1265	bisl1239
angl1265	came1254
angl1265	creo1235
angl1265	fern1234
angl1265	ghan1244
angl1265	gren1247
angl1265	gull1241
angl1265	hawa1247
angl1265	jama1262
angl1265	krio1252
angl1265	krio1253
angl1265	kwin1243
angl1265	limo1249
angl1265	midd1317
angl1265	ndyu1242
angl1265	nica1252
angl1265	nige1257
angl1265	olde1238
angl1265	piji1239
angl1265	pitc1234
angl1265	sana1297
angl1265	sara1340
angl1265	scot1243
angl1265	sran1240
angl1265	stan1293
angl1265	toba1282
angl1265	tokp1240
angl1265	torr1261
angl1265	trin1276
angl1265	turk1310
angl1265	vinc1243
angl1265	virg1240
angu1243	angu1242
angu1243	yang1305
angu1243	yupu1235
angu1244	angu1242
angu1244	yang1305
anil1235	anip1235
anil1235	labo1243
anim1240	abom1238
anim1240	bara1378
anim1240	bian1251
anim1240	bitu1242
anim1240	hoia1235
anim1240	hoya1235
anim1240	ipik1244
anim1240	kuni1265
anim1240	mahi1249
anim1240	maka1315
anim1240	mina1274
anim1240	muba1238
anim1240	nucl1622
anim1240	wark1247
anim1240	were1244
anim1240	yaqa1246
anim1240	zima1244
anna1245	aiom1240
anna1245	anor1241
anna1245	raoo1244
